Wavelength_nm,Reflectance
300,0.16103987
305,0.16795652
310,0.17262255
315,0.17859156
320,0.18303724
325,0.18737738
330,0.19064869
335,0.19404511
340,0.1966143
345,0.20041462
350,0.20356191
355,0.20934283
360,0.21457394
365,0.20807919
370,0.2037813
375,0.18056403
380,0.15822068
385,0.13898256
390,0.1195707
395,0.10581021
400,0.09231013
405,0.0819536
410,0.07200908
415,0.0635031
420,0.0554798
425,0.04844931
430,0.04193457
435,0.03633177
440,0.03122013
445,0.02681014
450,0.02285256
455,0.01943412
460,0.01641405
465,0.01383355
470,0.0115876
475,0.0097134
480,0.00810174
485,0.00673768
490,0.00558067
495,0.00463637
500,0.00384155
505,0.00316101
510,0.00259715
515,0.00214616
520,0.00177463
525,0.00147694
530,0.00123227
535,0.00103177
540,0.00086764
545,0.0007332
550,0.00062359
555,0.00053413
560,0.00046213
565,0.0004074
570,0.00036515
575,0.00033338
580,0.00031204
585,0.00029854
590,0.0002952
595,0.00030246
600,0.0003195
605,0.00034629
610,0.00038346
615,0.00043074
620,0.00048856
625,0.00055706
630,0.00063725
635,0.00072911
640,0.00083326
645,0.00094804
650,0.00107485
655,0.00121546
660,0.00136891
665,0.00153178
670,0.00170669
675,0.00189367
680,0.00209241
685,0.00230226
690,0.00252343
695,0.00276054
700,0.00300936
705,0.00326305
710,0.00352676
715,0.00380051
720,0.00408379
725,0.00437706
730,0.0046791
735,0.00498972
740,0.00530839
745,0.00563452
750,0.0059678
755,0.00629989
760,0.0066379
765,0.00699045
770,0.00734863
775,0.00771291
780,0.00808216
785,0.00845719
790,0.00883645
795,0.00921875
800,0.00960446
805,0.0099834
810,0.01036483
815,0.0107607
820,0.01115883
825,0.01155861
830,0.01195998
835,0.01234927
840,0.0127392
845,0.01314656
850,0.01355467
855,0.01394931
860,0.01434388
865,0.01475606
870,0.01516829
875,0.01556159
880,0.01595397
885,0.01636413
890,0.01677351
895,0.01716704
900,0.01755923
905,0.01796456
910,0.01836841
915,0.01875535
920,0.01914036
925,0.01954454
930,0.01994698
935,0.02032566
940,0.02070197
945,0.02109786
950,0.02149156
955,0.02186696
960,0.02223989
965,0.02261026
970,0.02297804
975,0.0233586
980,0.02373647
985,0.02409581
990,0.0244523
995,0.02482933
1000,0.0252037
1005,0.02555134
1010,0.02589594
1015,0.02624568
1020,0.02659259
1025,0.02695229
1030,0.02730908
1035,0.02764699
1040,0.02798197
1045,0.02831387
1050,0.0286428
1055,0.02896865
1060,0.02929149
1065,0.02962673
1070,0.02995887
1075,0.03027227
1080,0.03058262
1085,0.03089997
1090,0.03121449
1095,0.03153128
1100,0.03184495
1105,0.03215066
1110,0.03245355
1115,0.03274287
1120,0.03302917
1125,0.03332339
1130,0.03361481
1135,0.0339073
1140,0.03419671
1145,0.03447946
1150,0.03475945
1155,0.03503668
1160,0.03531117
1165,0.03558292
1170,0.03585196
1175,0.03611829
1180,0.03638193
1185,0.03665741
1190,0.03693012
1195,0.03718565
1200,0.03743855
1205,0.03768883
1210,0.03793652
1215,0.03819439
1220,0.03844987
1225,0.03869004
1230,0.03892769
1235,0.03917678
1240,0.03942326
1245,0.03965329
1250,0.03988087
1255,0.040106
1260,0.04032872
1265,0.04056267
1270,0.0407944
1275,0.04101013
1280,0.04122351
1285,0.04144852
1290,0.04167139
1295,0.04189125
1300,0.04210873
1305,0.04232497
1310,0.04253914
1315,0.04273682
1320,0.0429323
1325,0.04314018
1330,0.04334606
1335,0.04353522
1340,0.04372227
1345,0.04392207
1350,0.04411994
1355,0.04431589
1360,0.04450993
1365,0.0447145
1370,0.04491709
1375,0.04509012
1380,0.04526118
1385,0.0454457
1390,0.04562842
1395,0.04580936
1400,0.04598852
