"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
310,1.740604,310,0.960018,,Wer18,"Jérémie Werner, Gizem Nogay, Florent Sahli, Terry Chien-Jen Yang, Matthias Bräuninger, Gabriel Christmann, Arnaud Walter, Brett A. Kamino, Peter Fiala, Philipp Löper, Sylvain Nicolay, Quentin Jeangros, Bjoern Niesen and Christophe Ballif, 'Complex Refractive Indices of Cesium–Formamidinium-Based Mixed-Halide Perovskites with Optical Band Gaps from 1.5 to 1.8 eV', <i>ACS Energy Letters</i> <b>3</b>, pp.742-747, (2018)",Cesium-formamidinium mixed-halide perovskite with optical bandwidth of 1.67 eV.
313.92404,1.769949,313.92404,0.995133,,,,
317.94873,1.805498,317.94873,1.029627,,,,
322.0779,1.847828,322.0779,1.062245,,,,
326.3158,1.897252,326.3158,1.091395,,,,
330.66666,1.953648,330.66666,1.115184,,,,
335.13513,2.016285,335.13513,1.131554,,,,
339.726,2.08368,339.726,1.13851,,,,
344.44446,2.153569,344.44446,1.134451,,,,
349.29578,2.223045,349.29578,1.11853,,,,
354.2857,2.288891,354.2857,1.090944,,,,
359.4203,2.348047,359.4203,1.053036,,,,
364.70587,2.398092,364.70587,1.007153,,,,
370.14926,2.437599,370.14926,0.956278,,,,
375.75757,2.466253,375.75757,0.903564,,,,
381.53845,2.484748,381.53845,0.851897,,,,
387.5,2.49453,387.5,0.803604,,,,
393.6508,2.497493,393.6508,0.760322,,,,
400,2.495708,400,0.723006,,,,
406.55737,2.491241,406.55737,0.69201,,,,
413.33334,2.486045,413.33334,0.667189,,,,
420.339,2.48191,420.339,0.647971,,,,
427.5862,2.480437,427.5862,0.633395,,,,
435.0877,2.482996,435.0877,0.622099,,,,
442.85715,2.490614,442.85715,0.612282,,,,
450.9091,2.503786,450.9091,0.601705,,,,
459.25925,2.522185,459.25925,0.587803,,,,
467.92453,2.544371,467.92453,0.568027,,,,
476.92307,2.567687,476.92307,0.540444,,,,
486.2745,2.588575,486.2745,0.504451,,,,
496,2.603395,496,0.461252,,,,
506.12244,2.609478,506.12244,0.413695,,,,
516.6667,2.605865,516.6667,0.365452,,,,
527.65955,2.593344,527.65955,0.31996,,,,
539.13043,2.573887,539.13043,0.279669,,,,
551.1111,2.549903,551.1111,0.24583,,,,
563.63635,2.523665,563.63635,0.218705,,,,
576.7442,2.497044,576.7442,0.197928,,,,
590.4762,2.471485,590.4762,0.182846,,,,
604.87805,2.448147,604.87805,0.172741,,,,
620,2.428135,620,0.166922,,,,
635.89746,2.412844,635.89746,0.164661,,,,
652.6316,2.404476,652.6316,0.164738,,,,
670.27026,2.40661,670.27026,0.163865,,,,
688.8889,2.422656,688.8889,0.152125,,,,
708.5714,2.441577,708.5714,0.109057,,,,
729.41174,2.419585,729.41174,0.03979,,,,
751.51514,2.356003,751.51514,0.002666,,,,
775,2.300015,775,0,,,,
800,2.262498,800,0,,,,
826.6667,2.236807,826.6667,0,,,,
855.1724,2.217663,855.1724,0,,,,
885.7143,2.20229,885.7143,0,,,,
918.5185,2.189268,918.5185,0,,,,
953.8461,2.177842,953.8461,0,,,,
992,2.167578,992,0,,,,
1033.3334,2.158212,1033.3334,0,,,,
1078.2609,2.149572,1078.2609,0,,,,
1127.2727,2.14154,1127.2727,0,,,,
1180.9524,2.134028,1180.9524,0,,,,
1240,2.126973,1240,0,,,,
1305.2632,2.120322,1305.2632,0,,,,
1377.7778,2.114035,1377.7778,0,,,,
1458.8235,2.108077,1458.8235,0,,,,
1550,2.102419,1550,0,,,,
1653.3334,2.097036,1653.3334,0,,,,
1771.4286,2.091907,1771.4286,0,,,,
1907.6923,2.087011,1907.6923,0,,,,
2066.6667,2.082334,2066.6667,0,,,,
