"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
310,1.80578,310,0.987472,,Wer18,"Jérémie Werner, Gizem Nogay, Florent Sahli, Terry Chien-Jen Yang, Matthias Bräuninger, Gabriel Christmann, Arnaud Walter, Brett A. Kamino, Peter Fiala, Philipp Löper, Sylvain Nicolay, Quentin Jeangros, Bjoern Niesen and Christophe Ballif, 'Complex Refractive Indices of Cesium–Formamidinium-Based Mixed-Halide Perovskites with Optical Band Gaps from 1.5 to 1.8 eV', <i>ACS Energy Letters</i> <b>3</b>, pp.742-747, (2018)",Cesium-formamidinium mixed-halide perovskite with optical bandwidth of 1.70 eV.
313.92404,1.840314,313.92404,1.01685,,,,
317.94873,1.880595,317.94873,1.044206,,,,
322.0779,1.926788,322.0779,1.06822,,,,
326.3158,1.978705,326.3158,1.087371,,,,
330.66666,2.035687,330.66666,1.100033,,,,
335.13513,2.096512,335.13513,1.104649,,,,
339.726,2.159374,339.726,1.099964,,,,
344.44446,2.221986,344.44446,1.085279,,,,
349.29578,2.281795,349.29578,1.060666,,,,
354.2857,2.33632,354.2857,1.027059,,,,
359.4203,2.383493,359.4203,0.986188,,,,
364.70587,2.421946,364.70587,0.940346,,,,
370.14926,2.451155,370.14926,0.892064,,,,
375.75757,2.47141,375.75757,0.843776,,,,
381.53845,2.483669,381.53845,0.797561,,,,
387.5,2.489338,387.5,0.75499,,,,
393.6508,2.490057,393.6508,0.717093,,,,
400,2.487526,400,0.684384,,,,
406.55737,2.483393,406.55737,0.656937,,,,
413.33334,2.479183,413.33334,0.634456,,,,
420.339,2.476269,420.339,0.616323,,,,
427.5862,2.475845,427.5862,0.601619,,,,
435.0877,2.478876,435.0877,0.589125,,,,
442.85715,2.486014,442.85715,0.577308,,,,
450.9091,2.497447,450.9091,0.564349,,,,
459.25925,2.512707,459.25925,0.548264,,,,
467.92453,2.530494,467.92453,0.527163,,,,
476.92307,2.548642,476.92307,0.499683,,,,
486.2745,2.564358,486.2745,0.465476,,,,
496,2.57481,496,0.425528,,,,
506.12244,2.577853,506.12244,0.382071,,,,
516.6667,2.572603,516.6667,0.338039,,,,
527.65955,2.559542,527.65955,0.296302,,,,
539.13043,2.540178,539.13043,0.259057,,,,
551.1111,2.516498,551.1111,0.227572,,,,
563.63635,2.490493,563.63635,0.202281,,,,
576.7442,2.463886,576.7442,0.183047,,,,
590.4762,2.438081,590.4762,0.169457,,,,
604.87805,2.414282,604.87805,0.161065,,,,
620,2.393783,620,0.157546,,,,
635.89746,2.378565,635.89746,0.158704,,,,
652.6316,2.372663,652.6316,0.163868,,,,
670.27026,2.384915,670.27026,0.16788,,,,
688.8889,2.423363,688.8889,0.142701,,,,
708.5714,2.423875,708.5714,0.050369,,,,
729.41174,2.34237,729.41174,0.000706,,,,
751.51514,2.280256,751.51514,0,,,,
775,2.244472,775,0,,,,
800,2.220934,800,0,,,,
826.6667,2.20317,826.6667,0,,,,
855.1724,2.188537,855.1724,0,,,,
885.7143,2.175853,885.7143,0,,,,
918.5185,2.164524,918.5185,0,,,,
953.8461,2.154221,953.8461,0,,,,
992,2.14474,992,0,,,,
1033.3334,2.135944,1033.3334,0,,,,
1078.2609,2.127738,1078.2609,0,,,,
1127.2727,2.120048,1127.2727,0,,,,
1180.9524,2.112817,1180.9524,0,,,,
1240,2.105998,1240,0,,,,
1305.2632,2.099552,1305.2632,0,,,,
1377.7778,2.093445,1377.7778,0,,,,
1458.8235,2.08765,1458.8235,0,,,,
1550,2.082142,1550,0,,,,
1653.3334,2.076897,1653.3334,0,,,,
1771.4286,2.071897,1771.4286,0,,,,
1907.6923,2.067124,1907.6923,0,,,,
2066.6667,2.062562,2066.6667,0,,,,
