wavelength_nm,photon_flux_cm2_per_s,cumulative_photon_flux_cm2_per_s,spectral_rradiance_Wm2_per_nm
300,5.25916E+11,5.25916E+11,0.0013938
305,1.22526E+13,1.27786E+13,0.01597
310,4.72095E+13,5.9988E+13,0.06054
315,1.03117E+14,1.63105E+14,0.130135
320,1.7045E+14,3.33555E+14,0.21175
325,2.5356E+14,5.87115E+14,0.31015
330,3.46241E+14,9.33356E+14,0.4171
335,3.53384E+14,1.28674E+15,0.41935
340,4.01935E+14,1.68867E+15,0.46995
345,4.0854E+14,2.09721E+15,0.47075
350,4.4598E+14,2.54319E+15,0.50655
355,4.91286E+14,3.03448E+15,0.55015
360,4.61937E+14,3.49642E+15,0.5101
365,5.99282E+14,4.0957E+15,0.6527
370,6.46955E+14,4.74265E+15,0.6951
375,5.92259E+14,5.33491E+15,0.62785
380,6.9044E+14,6.02535E+15,0.7223
385,5.62971E+14,6.58832E+15,0.5813
390,7.31321E+14,7.31964E+15,0.74545
395,6.0308E+14,7.92272E+15,0.60695
400,1.07754E+15,9.00027E+15,1.0709
405,1.16574E+15,1.0166E+16,1.14425
410,1.20205E+15,1.1368E+16,1.1655
415,1.26916E+15,1.26372E+16,1.21575
420,1.27468E+15,1.39119E+16,1.2065
425,1.29493E+15,1.52068E+16,1.21125
430,1.13391E+15,1.63407E+16,1.0483
435,1.3875E+15,1.77282E+16,1.268
440,1.44191E+15,1.91701E+16,1.30275
445,1.58927E+15,2.07594E+16,1.41975
450,1.74211E+15,2.25015E+16,1.539
455,1.74888E+15,2.42504E+16,1.528
460,1.79934E+15,2.60497E+16,1.555
465,1.81012E+15,2.78599E+16,1.5475
470,1.83107E+15,2.96909E+16,1.54875
475,1.87922E+15,3.15702E+16,1.57275
480,1.94187E+15,3.3512E+16,1.60825
485,1.81478E+15,3.53268E+16,1.4875
490,1.88556E+15,3.72124E+16,1.52975
495,1.97018E+15,3.91825E+16,1.58225
500,1.92027E+15,4.11028E+16,1.52675
505,1.96298E+15,4.30658E+16,1.54525
510,2.0023E+15,4.50681E+16,1.56075
515,1.90792E+15,4.6976E+16,1.47275
520,1.93757E+15,4.89136E+16,1.48125
525,1.9902E+15,5.09038E+16,1.507
530,2.09148E+15,5.29953E+16,1.56875
535,2.05705E+15,5.50523E+16,1.5285
540,2.04741E+15,5.70997E+16,1.50725
545,2.10818E+15,5.92079E+16,1.53775
550,2.12752E+15,6.13354E+16,1.53775
555,2.13918E+15,6.34746E+16,1.53225
560,2.10809E+15,6.55827E+16,1.4965
565,2.13757E+15,6.77203E+16,1.504
570,2.12602E+15,6.98463E+16,1.48275
575,2.15588E+15,7.20022E+16,1.4905
580,2.17609E+15,7.41782E+16,1.4915
585,2.2412E+15,7.64194E+16,1.523
