Wavelength_nm,A_IQE,B_IQE,C_IQE,D_IQE,E_IQE
300,95.16171911,,,,
320,95.2006579,,,,
340,95.22662139,,,,
360,95.23624194,,,,
380,95.61990567,,,,
400,96.67809434,,,,
420,97.34625396,,,,
440,97.85117439,,,,
460,98.13560508,,,,
480,98.26743759,,,,
500,98.35259574,,,,
520,98.411778,,,,
540,98.45647017,,,,
560,98.48879851,,,,
580,98.51163491,,,,
600,98.52943859,,,,
620,98.5458889,,,,
640,98.55821259,,,,
660,98.56971392,,,,
680,98.57899132,,,,
700,98.58669269,,,,
720,98.59193012,,,,
740,98.59839846,,,,
760,98.60411117,,,,
780,98.60808183,,,,
800,98.61254316,,,,
820,98.61608457,,,,
840,98.61897722,,,,
860,98.62172258,,,,
880,98.62409449,,,,
900,98.62607012,,,,
920,98.62762521,,,,
940,98.6290311,,,,
960,98.63023913,,,,
980,98.63117713,,,,
1000,98.63196618,,,,
1020,98.63256016,,,,
1040,98.63298679,,,,
1060,98.63327009,,,,
1080,98.63339082,,,,
1100,98.63345736,,,,
