"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
310,1.884116,310,1.032001,,Wer18,"Jérémie Werner, Gizem Nogay, Florent Sahli, Terry Chien-Jen Yang, Matthias Bräuninger, Gabriel Christmann, Arnaud Walter, Brett A. Kamino, Peter Fiala, Philipp Löper, Sylvain Nicolay, Quentin Jeangros, Bjoern Niesen and Christophe Ballif, 'Complex Refractive Indices of Cesium–Formamidinium-Based Mixed-Halide Perovskites with Optical Band Gaps from 1.5 to 1.8 eV', <i>ACS Energy Letters</i> <b>3</b>, pp.742-747, (2018)",Cesium-formamidinium mixed-halide perovskite with optical bandwidth of 1.75 eV.
313.92404,1.92091,313.92404,1.051275,,,,
317.94873,1.961717,317.94873,1.067618,,,,
322.0779,2.006313,322.0779,1.08009,,,,
326.3158,2.054216,326.3158,1.087722,,,,
330.66666,2.104646,330.66666,1.089594,,,,
335.13513,2.156517,335.13513,1.084941,,,,
339.726,2.20847,339.726,1.073272,,,,
344.44446,2.258965,344.44446,1.054481,,,,
349.29578,2.30641,349.29578,1.028916,,,,
354.2857,2.349334,354.2857,0.997401,,,,
359.4203,2.386546,359.4203,0.961171,,,,
364.70587,2.41727,364.70587,0.92176,,,,
370.14926,2.441215,370.14926,0.880838,,,,
375.75757,2.458572,375.75757,0.840042,,,,
381.53845,2.469965,381.53845,0.800837,,,,
387.5,2.476353,387.5,0.764412,,,,
393.6508,2.478923,393.6508,0.731624,,,,
400,2.478998,400,0.702982,,,,
406.55737,2.477961,406.55737,0.678648,,,,
413.33334,2.477189,413.33334,0.658434,,,,
420.339,2.478013,420.339,0.641804,,,,
427.5862,2.481645,427.5862,0.627836,,,,
435.0877,2.489079,435.0877,0.615194,,,,
442.85715,2.500916,442.85715,0.602107,,,,
450.9091,2.517121,450.9091,0.586435,,,,
459.25925,2.53674,459.25925,0.565905,,,,
467.92453,2.557717,467.92453,0.538576,,,,
476.92307,2.577015,476.92307,0.503482,,,,
486.2745,2.591195,486.2745,0.461209,,,,
496,2.597356,496,0.414001,,,,
506.12244,2.594003,506.12244,0.365235,,,,
516.6667,2.581373,516.6667,0.318442,,,,
527.65955,2.561104,527.65955,0.276429,,,,
539.13043,2.535536,539.13043,0.240856,,,,
551.1111,2.507054,551.1111,0.212305,,,,
563.63635,2.477712,563.63635,0.190619,,,,
576.7442,2.449139,576.7442,0.175282,,,,
590.4762,2.422674,590.4762,0.165731,,,,
604.87805,2.399689,604.87805,0.161562,,,,
620,2.382261,620,0.162583,,,,
635.89746,2.37475,635.89746,0.168236,,,,
652.6316,2.387282,652.6316,0.173143,,,,
670.27026,2.429555,670.27026,0.144265,,,,
688.8889,2.421079,688.8889,0.041659,,,,
708.5714,2.330216,708.5714,0,,,,
729.41174,2.269297,729.41174,0,,,,
751.51514,2.234601,751.51514,0,,,,
775,2.211218,775,0,,,,
800,2.193125,800,0,,,,
826.6667,2.177943,826.6667,0,,,,
855.1724,2.164616,855.1724,0,,,,
885.7143,2.152612,885.7143,0,,,,
918.5185,2.141629,918.5185,0,,,,
953.8461,2.131478,953.8461,0,,,,
992,2.122032,992,0,,,,
1033.3334,2.113197,1033.3334,0,,,,
1078.2609,2.104901,1078.2609,0,,,,
1127.2727,2.097088,1127.2727,0,,,,
1180.9524,2.089711,1180.9524,0,,,,
1240,2.082729,1240,0,,,,
1305.2632,2.07611,1305.2632,0,,,,
1377.7778,2.069823,1377.7778,0,,,,
1458.8235,2.063842,1458.8235,0,,,,
1550,2.058145,1550,0,,,,
1653.3334,2.052711,1653.3334,0,,,,
1771.4286,2.047521,1771.4286,0,,,,
1907.6923,2.042559,1907.6923,0,,,,
2066.6667,2.037809,2066.6667,0,,,,
